rate,scheduler,sample_count,avg_gpu_util_pct,p95_gpu_util_pct,nonzero_sample_pct,avg_power_w_per_gpu,peak_memory_mb
0.03,fcfs,11720,19.459044368600683,89.0,23.523890784982935,105.6887252559727,32195
0.03,sjf,11700,18.884957264957265,89.0,22.358974358974358,103.73633675213674,33053
0.03,rhsail,11720,18.056484641638225,88.0,21.424914675767916,101.87932167235495,32617
0.12,fcfs,2990,73.39866220735786,92.0,87.09030100334448,241.7418795986622,32175
0.12,sjf,3005,72.66422628951747,93.0,86.22296173044926,237.01674542429288,32611
0.12,rhsail,3035,71.4013179571664,92.0,85.56836902800659,234.4137364085667,32229
0.15,fcfs,2800,79.02892857142857,93.0,94.0,252.84587857142856,32221
0.15,sjf,2765,78.1490054249548,93.0,92.80289330922243,255.09645931283904,33063
0.15,rhsail,2885,78.47417677642981,96.0,93.58752166377816,251.82150433275564,34552
