scheduler,internal_device,physical_gpu,start_time_s,end_time_s,duration_s
fcfs,0,3,16.48883156804368,33.8707744567655,17.381942888721824
fcfs,0,3,34.22155056800693,34.523736918810755,0.3021863508038223
fcfs,0,3,35.14413975318894,35.43255236605182,0.288412612862885
fcfs,0,3,36.06729350192472,36.36827357718721,0.30098007526248693
fcfs,0,3,37.30080252280459,38.609559196047485,1.3087566732428968
fcfs,0,3,39.14555429806933,41.30181585904211,2.15626156097278
fcfs,0,3,41.92910962412134,42.51473480882123,0.585625184699893
fcfs,0,3,42.817621648777276,43.07274096598849,0.2551193172112107
fcfs,0,3,43.751297009177506,46.53699246700853,2.785695457831025
fcfs,0,3,47.13002845318988,47.94633039785549,0.8163019446656108
fcfs,0,3,48.563488867133856,49.67704519582912,1.1135563286952674
fcfs,0,3,50.02831995813176,51.4155650427565,1.3872450846247375
fcfs,0,3,51.914880021009594,52.23098910599947,0.31610908498987556
fcfs,0,3,52.5704005821608,53.08869867306203,0.5182980909012258
fcfs,0,3,53.40496620815247,53.89423948479816,0.4892732766456902
fcfs,0,3,54.240678783040494,54.53666889714077,0.2959901141002774
fcfs,0,3,54.86438323510811,55.0599285857752,0.19554535066708922
fcfs,0,3,62.890369173139334,64.00345926405862,1.113090090919286
fcfs,0,3,64.00515399500728,71.80167214991525,7.796518154907972
fcfs,0,3,72.19838620675728,80.28294469509274,8.08455848833546
fcfs,0,3,80.68662600778043,86.33164430689067,5.645018299110234
fcfs,0,3,86.85350351082161,93.3636704380624,6.510166927240789
fcfs,0,3,93.66703747678548,103.03967181406915,9.372634337283671
fcfs,0,3,103.80284967087209,110.78750579291955,6.984656122047454
fcfs,0,3,111.48254412505776,116.8137254328467,5.331181307788938
fcfs,0,3,117.51449669478461,123.23237892519683,5.717882230412215
fcfs,0,3,123.69710520096123,125.16145054716617,1.4643453462049365
fcfs,0,3,125.58460672805086,128.89884534291923,3.3142386148683727
fcfs,0,3,129.30567629402503,131.96353955194354,2.657863257918507
fcfs,0,3,132.61967052984983,137.250319856219,4.630649326369166
fcfs,0,3,137.6535090119578,144.6397395678796,6.986230555921793
fcfs,0,3,145.13788376376033,147.02633395418525,1.8884501904249191
fcfs,0,3,147.59542381716892,152.70353159075603,5.108107773587108
fcfs,0,3,153.19606228685006,153.5535615500994,0.3574992632493377
fcfs,0,3,154.11926578404382,154.4277270999737,0.3084613159298897
fcfs,0,3,154.88384479703382,188.1999572007917,33.31611240375787
fcfs,0,3,188.83592418720946,212.4398197811097,23.603895593900234
fcfs,0,3,212.9583481340669,215.85523971309885,2.8968915790319443
fcfs,0,3,216.34061852376908,222.04637925419956,5.705760730430484
fcfs,0,3,222.4925852441229,223.36690440401435,0.8743191598914564
fcfs,0,3,223.92741790320724,226.90760438516736,2.980186481960118
fcfs,0,3,227.2117193657905,232.52940457081422,5.317685205023736
fcfs,0,3,233.00792479980737,241.16476463293657,8.156839833129197
fcfs,0,3,241.9272243208252,249.58363669319078,7.656412372365594
fcfs,0,3,250.0462979930453,252.26303916890174,2.2167411758564413
fcfs,0,3,252.62279573082924,258.43663278315216,5.813837052322924
fcfs,0,3,258.8388495030813,259.46213058615103,0.6232810830697417
fcfs,0,3,259.8667893228121,260.5918704387732,0.7250811159610748
fcfs,0,3,260.9085610010661,273.9239898622036,13.01542886113748
fcfs,0,3,274.4669093270786,275.2803290691227,0.8134197420440614
fcfs,0,3,275.7169209830463,276.2727657421492,0.5558447591029108
fcfs,0,3,276.7584593221545,277.34799338085577,0.589534058701247
fcfs,0,3,277.7519727591425,278.27468204218894,0.5227092830464244
fcfs,0,3,279.08938591601327,281.6170397028327,2.527653786819428
fcfs,0,3,282.02104410203174,288.9654784789309,6.944434376899153
fcfs,0,3,289.60827676486224,297.937273922842,8.328997157979757
fcfs,0,3,298.34146680589765,307.561487947125,9.220021141227335
fcfs,0,3,307.91904962901026,313.5861132228747,5.667063593864441
fcfs,0,3,313.7903877119534,323.1940869721584,9.40369926020503
fcfs,0,3,323.4982068031095,328.68693667603657,5.18872987292707
fcfs,0,3,329.31188539089635,329.78398825321347,0.47210286231711507
fcfs,0,3,330.23585140984505,330.69059972884133,0.45474831899628043
