scheduler,count,completed,success_rate,makespan,makespan_minutes,input_tokens,output_tokens,total_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,waiting_time_mean,service_time_mean,p50_service_time_s,p95_service_time_s,p99_service_time_s,avg_completion_time_s,scheduler_overhead_seconds,scheduler_overhead_pct,ready_queue_avg,ready_queue_peak,critical_path_mean,dag_parallelism_mean,dependency_stall_mean,cross_device_dependencies_mean,load_imbalance,parallelism_utilization
fcfs,1400,1400,1.0,11573.59562458191,192.8932604096985,25327157,3191145,28518302,0.12096500045555844,2188.3568271735717,275.7263259848236,2464.0831531583954,824.2796116200273,34.543569893433514,25.262949893949553,93.3690725909546,149.76222983398006,858.8231815134608,321.45949627505615,0.02777524865239697,96.31389209701369,237,27.598752828260682,1.311088246933418,15.645353244132961,5.037142857142857,1.0677273363228865,0.9166214957104735
sjf,1400,1400,1.0,11199.69585581543,186.66159759692383,25248805,3119310,28368115,0.12500339455852738,2254.418809675942,278.5173847716857,2532.9361944476277,287.87214490977914,96.93742613735176,25.926847195485607,198.4642710190964,943.8471160981941,384.80957104713093,296.76789650926366,0.026497853185465502,54.05762205247426,131,26.624993988322093,1.315074208955697,150.66156769474136,5.482857142857143,1.0702399324257037,0.9160918661541902
sailp,1400,1400,1.0,11358.234276735224,189.30390461225372,25327355,3146169,28473524,0.1232585951205095,2229.8672824417226,276.9945506797845,2506.861833121507,3.6048362095061957,3174.109798840011,2439.9968324061483,9085.206635853554,10045.436092293308,3177.7146350495173,409.8533766306937,0.03608425100635455,185.91815856777492,857,26.857048144715705,1.3141149105133956,3221.1688239086684,7.670714285714285,1.0720543113997822,0.9151615885236027
rhsail,1400,1400,1.0,11630.934521735646,193.8489086955941,25134614,3127247,28261861,0.12036865974816637,2161.0141431910706,268.8732357796243,2429.887378970695,723.2368062933741,69.1646865990086,59.30105673521757,162.44519467349159,216.55655162641773,792.4014928923826,1448.0542028518394,0.12450024545712524,10.287566680344685,33,26.683165202662348,1.312245620160448,72.99427272026959,6.075714285714286,1.0726498443441514,0.8892001660578706
darc,1400,1400,1.0,12039.001557854936,200.65002596424893,25174235,3116964,28291199,0.11628871325185265,2091.0567108926807,258.9055234373912,2349.9622343300716,1673.636470874238,125.21651861764623,56.24639517907053,260.3801289227791,814.8560583913875,1798.8529894918843,2869.5622083097696,0.23835549771463418,33.74702476680605,468,26.670113147936895,1.3136335731432032,123.39601361494711,6.416428571428572,1.0392218861316531,0.8530845233831966
