timestamp,gpu_index,memory_total_mb,memory_used_mb,utilization_gpu_pct,power_w,scheduler,elapsed_minutes
1783957576.235864,3,40960,17,0,53.59,fcfs,0.003931065400441487
1783957576.235864,4,40960,17,0,54.7,fcfs,0.003931065400441487
1783957576.235864,5,40960,17,0,58.14,fcfs,0.003931065400441487
1783957576.235864,6,40960,17,0,53.7,fcfs,0.003931065400441487
1783957576.235864,7,40960,17,0,58.51,fcfs,0.003931065400441487
1783957581.3602493,3,40960,17,0,53.59,fcfs,0.08933748801549275
1783957581.3602493,4,40960,17,0,54.42,fcfs,0.08933748801549275
1783957581.3602493,5,40960,17,0,58.14,fcfs,0.08933748801549275
1783957581.3602493,6,40960,17,0,53.7,fcfs,0.08933748801549275
1783957581.3602493,7,40960,17,0,58.51,fcfs,0.08933748801549275
1783957586.4824376,3,40960,17,0,53.59,fcfs,0.174707293510437
1783957586.4824376,4,40960,17,0,54.42,fcfs,0.174707293510437
1783957586.4824376,5,40960,17,0,58.14,fcfs,0.174707293510437
1783957586.4824376,6,40960,17,0,53.7,fcfs,0.174707293510437
1783957586.4824376,7,40960,17,0,58.51,fcfs,0.174707293510437
1783957591.6144185,3,40960,15985,35,59.85,fcfs,0.2602403084437052
1783957591.6144185,4,40960,17,0,54.7,fcfs,0.2602403084437052
1783957591.6144185,5,40960,17,0,58.41,fcfs,0.2602403084437052
1783957591.6144185,6,40960,17,0,53.7,fcfs,0.2602403084437052
1783957591.6144185,7,40960,17,0,58.51,fcfs,0.2602403084437052
1783957596.745228,3,40960,30915,0,75.24,fcfs,0.34575380086898805
1783957596.745228,4,40960,17,0,54.42,fcfs,0.34575380086898805
1783957596.745228,5,40960,17,0,58.14,fcfs,0.34575380086898805
1783957596.745228,6,40960,17,0,53.65,fcfs,0.34575380086898805
1783957596.745228,7,40960,17,0,58.51,fcfs,0.34575380086898805
1783957601.8777308,3,40960,30919,84,223.32,fcfs,0.4312955141067505
1783957601.8777308,4,40960,17,0,54.36,fcfs,0.4312955141067505
1783957601.8777308,5,40960,17,0,58.08,fcfs,0.4312955141067505
1783957601.8777308,6,40960,17,0,53.65,fcfs,0.4312955141067505
1783957601.8777308,7,40960,17,0,58.45,fcfs,0.4312955141067505
1783957607.0068157,3,40960,30919,85,227.09,fcfs,0.5167802611986796
1783957607.0068157,4,40960,517,0,60.31,fcfs,0.5167802611986796
1783957607.0068157,5,40960,17,0,58.08,fcfs,0.5167802611986796
1783957607.0068157,6,40960,17,0,53.65,fcfs,0.5167802611986796
1783957607.0068157,7,40960,17,0,58.51,fcfs,0.5167802611986796
1783957612.1332507,3,40960,30919,86,238.19,fcfs,0.6022208452224731
1783957612.1332507,4,40960,17025,100,367.87,fcfs,0.6022208452224731
1783957612.1332507,5,40960,15985,32,63.67,fcfs,0.6022208452224731
1783957612.1332507,6,40960,17,0,53.32,fcfs,0.6022208452224731
1783957612.1332507,7,40960,17,0,58.39,fcfs,0.6022208452224731
1783957617.314248,3,40960,30919,15,78.56,fcfs,0.6885708014170329
1783957617.314248,4,40960,30919,83,237.8,fcfs,0.6885708014170329
1783957617.314248,5,40960,30915,0,82.18,fcfs,0.6885708014170329
1783957617.314248,6,40960,17,0,53.65,fcfs,0.6885708014170329
1783957617.314248,7,40960,17,0,58.45,fcfs,0.6885708014170329
1783957622.4442613,3,40960,30919,81,222.44,fcfs,0.7740710218747456
1783957622.4442613,4,40960,30919,81,237.66,fcfs,0.7740710218747456
1783957622.4442613,5,40960,30919,84,240.2,fcfs,0.7740710218747456
1783957622.4442613,6,40960,15985,32,60.37,fcfs,0.7740710218747456
1783957622.4442613,7,40960,17,0,58.39,fcfs,0.7740710218747456
1783957627.5891411,3,40960,30919,86,239.95,fcfs,0.8598190188407898
1783957627.5891411,4,40960,30919,85,235.82,fcfs,0.8598190188407898
1783957627.5891411,5,40960,30919,84,239.31,fcfs,0.8598190188407898
1783957627.5891411,6,40960,30915,0,76.07,fcfs,0.8598190188407898
1783957627.5891411,7,40960,15985,13,65.24,fcfs,0.8598190188407898
1783957632.7157018,3,40960,30919,0,78.15,fcfs,0.9452616969744364
1783957632.7157018,4,40960,30919,0,80.25,fcfs,0.9452616969744364
1783957632.7157018,5,40960,30919,85,244.62,fcfs,0.9452616969744364
1783957632.7157018,6,40960,30919,87,238.34,fcfs,0.9452616969744364
1783957632.7157018,7,40960,30915,0,82.13,fcfs,0.9452616969744364
1783957637.8378515,3,40960,30919,12,232.86,fcfs,1.0306308587392172
1783957637.8378515,4,40960,30919,86,237.97,fcfs,1.0306308587392172
1783957637.8378515,5,40960,30919,85,248.82,fcfs,1.0306308587392172
1783957637.8378515,6,40960,30919,2,239.88,fcfs,1.0306308587392172
1783957637.8378515,7,40960,30919,53,84.41,fcfs,1.0306308587392172
1783957642.962776,3,40960,30919,0,60.89,fcfs,1.1160462657610575
1783957642.962776,4,40960,30919,86,242.95,fcfs,1.1160462657610575
1783957642.962776,5,40960,30919,85,255.96,fcfs,1.1160462657610575
1783957642.962776,6,40960,30919,0,60.43,fcfs,1.1160462657610575
1783957642.962776,7,40960,30919,0,64.63,fcfs,1.1160462657610575
1783957648.0911682,3,40960,30919,87,237.94,fcfs,1.2015194694201152
1783957648.0911682,4,40960,30919,87,251.08,fcfs,1.2015194694201152
1783957648.0911682,5,40960,30919,86,252.08,fcfs,1.2015194694201152
1783957648.0911682,6,40960,30919,0,60.37,fcfs,1.2015194694201152
1783957648.0911682,7,40960,30919,0,64.63,fcfs,1.2015194694201152
1783957653.216698,3,40960,30919,85,237.85,fcfs,1.2869449655214946
1783957653.216698,4,40960,30919,0,63.93,fcfs,1.2869449655214946
1783957653.216698,5,40960,30919,86,255.89,fcfs,1.2869449655214946
1783957653.216698,6,40960,30919,0,60.16,fcfs,1.2869449655214946
1783957653.216698,7,40960,30919,0,64.7,fcfs,1.2869449655214946
1783957658.3638058,3,40960,30919,85,242.24,fcfs,1.3727300961812336
1783957658.3638058,4,40960,30919,0,83.33,fcfs,1.3727300961812336
1783957658.3638058,5,40960,30919,0,68.78,fcfs,1.3727300961812336
1783957658.3638058,6,40960,30919,0,60.22,fcfs,1.3727300961812336
1783957658.3638058,7,40960,30919,0,64.42,fcfs,1.3727300961812336
1783957663.483416,3,40960,30919,86,238.43,fcfs,1.4580569346745809
1783957663.483416,4,40960,30919,0,63.03,fcfs,1.4580569346745809
1783957663.483416,5,40960,30919,0,67.89,fcfs,1.4580569346745809
1783957663.483416,6,40960,30919,0,59.61,fcfs,1.4580569346745809
1783957663.483416,7,40960,30919,0,64.49,fcfs,1.4580569346745809
1783957668.610148,3,40960,30919,88,84.31,fcfs,1.5435024658838907
1783957668.610148,4,40960,30919,87,243.93,fcfs,1.5435024658838907
1783957668.610148,5,40960,30919,85,252.99,fcfs,1.5435024658838907
1783957668.610148,6,40960,30919,87,239.58,fcfs,1.5435024658838907
1783957668.610148,7,40960,30919,0,64.36,fcfs,1.5435024658838907
1783957673.7704687,3,40960,30919,85,242.11,fcfs,1.6295078118642172
1783957673.7704687,4,40960,30919,87,247.86,fcfs,1.6295078118642172
1783957673.7704687,5,40960,30919,85,254.83,fcfs,1.6295078118642172
1783957673.7704687,6,40960,30919,85,241.7,fcfs,1.6295078118642172
1783957673.7704687,7,40960,30919,85,239.58,fcfs,1.6295078118642172
1783957678.9058547,3,40960,30919,85,240.35,fcfs,1.7150975783665976
1783957678.9058547,4,40960,30919,88,242.82,fcfs,1.7150975783665976
1783957678.9058547,5,40960,30919,85,256.6,fcfs,1.7150975783665976
1783957678.9058547,6,40960,30919,88,245.49,fcfs,1.7150975783665976
1783957678.9058547,7,40960,30919,85,239.25,fcfs,1.7150975783665976
1783957684.0343685,3,40960,30919,39,84.22,fcfs,1.8005728085835775
1783957684.0343685,4,40960,30919,89,253.49,fcfs,1.8005728085835775
1783957684.0343685,5,40960,30919,43,267.85,fcfs,1.8005728085835775
1783957684.0343685,6,40960,30919,88,241.1,fcfs,1.8005728085835775
1783957684.0343685,7,40960,30919,86,244.23,fcfs,1.8005728085835775
1783957689.174652,3,40960,30919,86,246.85,fcfs,1.8862442016601562
1783957689.174652,4,40960,30919,89,260.98,fcfs,1.8862442016601562
1783957689.174652,5,40960,30919,87,264.05,fcfs,1.8862442016601562
1783957689.174652,6,40960,30919,89,246.09,fcfs,1.8862442016601562
1783957689.174652,7,40960,30919,87,248.44,fcfs,1.8862442016601562
1783957694.3044806,3,40960,30919,86,246.57,fcfs,1.9717413425445556
1783957694.3044806,4,40960,30919,87,252.62,fcfs,1.9717413425445556
1783957694.3044806,5,40960,30919,0,96.19,fcfs,1.9717413425445556
1783957694.3044806,6,40960,30919,87,244.34,fcfs,1.9717413425445556
1783957694.3044806,7,40960,30919,86,243.35,fcfs,1.9717413425445556
1783957699.4343643,3,40960,30919,87,246.85,fcfs,2.0572394053141276
1783957699.4343643,4,40960,30919,37,89.06,fcfs,2.0572394053141276
1783957699.4343643,5,40960,30919,89,272.61,fcfs,2.0572394053141276
1783957699.4343643,6,40960,30919,87,246.7,fcfs,2.0572394053141276
1783957699.4343643,7,40960,30919,87,254.91,fcfs,2.0572394053141276
1783957704.5725365,3,40960,30919,87,245.09,fcfs,2.142875607808431
