scheduler,dataset,count,avg_wait_s,avg_service_s,p95_service_s,avg_completion_s
fcfs,gsm8k,200,70.7696890827734,9.584197990661487,20.449446613108737,80.35388707343489
fcfs,strategyqa,200,73.44485843214207,17.74431501419749,29.629182103462497,91.18917344633955
fcfs,mmlu_pro,200,76.96955641742795,22.879622742617503,71.22178195575249,99.84917916004547
fcfs,math,200,71.62275093708188,41.00390930294059,90.9074986622668,112.62666024002246
fcfs,mbpp,200,70.41003213101533,33.882028517643924,52.67145818532442,104.29206064865924
fcfs,hotpotqa,200,75.53098215606063,26.005730415941215,40.58573228609746,101.53671257200185
fcfs,swebench_verified,200,78.06048649638892,75.96981781945098,130.50980382859706,154.03030431583989
sjf,gsm8k,200,1.8842896414315329,7.987434859541245,14.90619586193932,9.871724500972778
sjf,strategyqa,200,1.0046527126710862,15.668229146050288,23.214353873673822,16.672881858721375
sjf,mmlu_pro,200,3.899291810207069,22.53723338483367,74.41709566856724,26.43652519504074
sjf,math,200,1.5127605536859483,42.46341960643884,87.38773478711951,43.976180160124784
sjf,mbpp,200,2.025476971389726,34.995427140714604,59.202353035053235,37.020904112104326
sjf,hotpotqa,200,33.166708643538875,49.68113624436315,149.88904046216038,82.84784488790203
sjf,swebench_verified,200,160.95531362897717,253.51025806911755,972.8272226755495,414.4655716980947
rhsail,gsm8k,200,53.1683496080013,11.50051779080648,33.502612171974015,64.66886739880778
rhsail,strategyqa,200,52.08681414695922,30.33556578976102,58.97025190684944,82.42237993672025
rhsail,mmlu_pro,200,130.57717191792094,26.12760269177146,60.68284149742681,156.7047746096924
rhsail,math,200,89.40441397160757,73.52633548544719,129.83455672310652,162.93074945705476
rhsail,mbpp,200,123.74225683332887,58.55519041123334,94.15130169382317,182.29744724456222
rhsail,hotpotqa,200,92.66459136655088,63.376084219296466,106.64537704433313,156.04067558584734
rhsail,swebench_verified,200,145.98025509744883,142.9170715982467,218.3731719971168,288.89732669569554
