timestamp,gpu_index,memory_total_mb,memory_used_mb,utilization_gpu_pct,power_w,rate_label,scheduler,elapsed_minutes
1783988967.826156,5,40960,32189,86,283.3,0.12,rhsail,127.31376926501592
1783988967.826156,6,40960,32185,85,251.52,0.12,rhsail,127.31376926501592
1783988967.826156,7,40960,32581,89,289.25,0.12,rhsail,127.31376926501592
1783988972.956875,3,40960,31367,68,393.04,0.12,rhsail,127.39928125143051
1783988972.956875,4,40960,31367,86,272.0,0.12,rhsail,127.39928125143051
1783988972.956875,5,40960,32189,87,280.04,0.12,rhsail,127.39928125143051
1783988972.956875,6,40960,32185,85,254.42,0.12,rhsail,127.39928125143051
1783988972.956875,7,40960,32581,89,286.28,0.12,rhsail,127.39928125143051
1783988978.089399,3,40960,31367,86,253.1,0.12,rhsail,127.4848233183225
1783988978.089399,4,40960,31367,85,273.49,0.12,rhsail,127.4848233183225
1783988978.089399,5,40960,32189,87,285.12,0.12,rhsail,127.4848233183225
1783988978.089399,6,40960,32185,86,253.54,0.12,rhsail,127.4848233183225
1783988978.089399,7,40960,32581,89,288.64,0.12,rhsail,127.4848233183225
1783988983.2199965,3,40960,31367,86,251.94,0.12,rhsail,127.57033327420552
1783988983.2199965,4,40960,31367,13,390.78,0.12,rhsail,127.57033327420552
1783988983.2199965,5,40960,32189,87,286.55,0.12,rhsail,127.57033327420552
1783988983.2199965,6,40960,32185,84,252.66,0.12,rhsail,127.57033327420552
1783988983.2199965,7,40960,32581,89,287.48,0.12,rhsail,127.57033327420552
1783988988.3540397,3,40960,31367,86,251.92,0.12,rhsail,127.65590066115061
1783988988.3540397,4,40960,31367,87,276.43,0.12,rhsail,127.65590066115061
1783988988.3540397,5,40960,32189,89,294.9,0.12,rhsail,127.65590066115061
1783988988.3540397,6,40960,32185,54,91.58,0.12,rhsail,127.65590066115061
1783988988.3540397,7,40960,32581,90,295.15,0.12,rhsail,127.65590066115061
1783988993.483384,3,40960,31367,87,258.44,0.12,rhsail,127.74138973156612
1783988993.483384,4,40960,31367,74,274.1,0.12,rhsail,127.74138973156612
1783988993.483384,5,40960,32189,44,283.3,0.12,rhsail,127.74138973156612
1783988993.483384,6,40960,32185,86,256.78,0.12,rhsail,127.74138973156612
1783988993.483384,7,40960,32581,91,298.7,0.12,rhsail,127.74138973156612
1783988998.6141517,3,40960,31367,86,251.67,0.12,rhsail,127.82690252860387
1783988998.6141517,4,40960,31367,87,282.12,0.12,rhsail,127.82690252860387
1783988998.6141517,5,40960,32189,88,295.49,0.12,rhsail,127.82690252860387
1783988998.6141517,6,40960,32185,87,255.9,0.12,rhsail,127.82690252860387
1783988998.6141517,7,40960,32581,90,299.3,0.12,rhsail,127.82690252860387
1783989003.7448113,3,40960,31367,86,253.1,0.12,rhsail,127.91241352160772
1783989003.7448113,4,40960,31367,87,277.36,0.12,rhsail,127.91241352160772
1783989003.7448113,5,40960,32189,89,294.27,0.12,rhsail,127.91241352160772
1783989003.7448113,6,40960,32185,87,256.78,0.12,rhsail,127.91241352160772
1783989003.7448113,7,40960,32581,91,296.61,0.12,rhsail,127.91241352160772
1783989008.8761444,3,40960,31367,86,253.43,0.12,rhsail,127.997935740153
1783989008.8761444,4,40960,31367,87,278.53,0.12,rhsail,127.997935740153
1783989008.8761444,5,40960,32189,88,296.97,0.12,rhsail,127.997935740153
1783989008.8761444,6,40960,32185,87,266.21,0.12,rhsail,127.997935740153
1783989008.8761444,7,40960,32581,91,302.83,0.12,rhsail,127.997935740153
1783989014.0043428,3,40960,31367,87,255.8,0.12,rhsail,128.0834057132403
1783989014.0043428,4,40960,31367,87,282.39,0.12,rhsail,128.0834057132403
1783989014.0043428,5,40960,32189,87,299.01,0.12,rhsail,128.0834057132403
1783989014.0043428,6,40960,32185,88,263.58,0.12,rhsail,128.0834057132403
1783989014.0043428,7,40960,32581,91,298.09,0.12,rhsail,128.0834057132403
1783989019.1370559,3,40960,31367,87,256.68,0.12,rhsail,128.1689509312312
1783989019.1370559,4,40960,31367,98,285.34,0.12,rhsail,128.1689509312312
1783989019.1370559,5,40960,32189,89,299.32,0.12,rhsail,128.1689509312312
1783989019.1370559,6,40960,32185,87,258.6,0.12,rhsail,128.1689509312312
1783989019.1370559,7,40960,32581,0,445.21,0.12,rhsail,128.1689509312312
1783989024.264856,3,40960,31367,77,91.86,0.12,rhsail,128.2544142683347
1783989024.264856,4,40960,31367,88,285.39,0.12,rhsail,128.2544142683347
1783989024.264856,5,40960,32189,87,284.51,0.12,rhsail,128.2544142683347
1783989024.264856,6,40960,32185,87,257.11,0.12,rhsail,128.2544142683347
1783989024.264856,7,40960,32581,87,289.25,0.12,rhsail,128.2544142683347
1783989029.3909495,3,40960,31367,87,253.52,0.12,rhsail,128.3398491581281
1783989029.3909495,4,40960,31367,89,277.07,0.12,rhsail,128.3398491581281
1783989029.3909495,5,40960,32189,87,285.96,0.12,rhsail,128.3398491581281
1783989029.3909495,6,40960,32185,34,403.59,0.12,rhsail,128.3398491581281
1783989029.3909495,7,40960,32581,87,283.66,0.12,rhsail,128.3398491581281
1783989034.5265288,3,40960,31367,59,89.67,0.12,rhsail,128.42544214725496
1783989034.5265288,4,40960,31367,89,278.24,0.12,rhsail,128.42544214725496
1783989034.5265288,5,40960,32189,95,289.23,0.12,rhsail,128.42544214725496
1783989034.5265288,6,40960,32185,83,251.18,0.12,rhsail,128.42544214725496
1783989034.5265288,7,40960,32581,86,273.02,0.12,rhsail,128.42544214725496
1783989039.659526,3,40960,31367,88,259.06,0.12,rhsail,128.51099210182826
1783989039.659526,4,40960,31367,84,265.2,0.12,rhsail,128.51099210182826
1783989039.659526,5,40960,32189,0,106.08,0.12,rhsail,128.51099210182826
1783989039.659526,6,40960,32185,83,240.35,0.12,rhsail,128.51099210182826
1783989039.659526,7,40960,32581,87,273.3,0.12,rhsail,128.51099210182826
1783989044.7866454,3,40960,31367,88,250.21,0.12,rhsail,128.59644409020743
1783989044.7866454,4,40960,31367,55,253.88,0.12,rhsail,128.59644409020743
1783989044.7866454,5,40960,32189,85,267.03,0.12,rhsail,128.59644409020743
1783989044.7866454,6,40960,32185,83,242.38,0.12,rhsail,128.59644409020743
1783989044.7866454,7,40960,32581,86,269.78,0.12,rhsail,128.59644409020743
1783989049.9174185,3,40960,31367,88,245.49,0.12,rhsail,128.68195697466533
1783989049.9174185,4,40960,31367,85,259.3,0.12,rhsail,128.68195697466533
1783989049.9174185,5,40960,32189,95,296.94,0.12,rhsail,128.68195697466533
1783989049.9174185,6,40960,32185,83,243.33,0.12,rhsail,128.68195697466533
1783989049.9174185,7,40960,32581,87,261.83,0.12,rhsail,128.68195697466533
1783989055.0452454,3,40960,31367,88,249.06,0.12,rhsail,128.76742075681688
1783989055.0452454,4,40960,31367,84,254.22,0.12,rhsail,128.76742075681688
1783989055.0452454,5,40960,32189,87,265.6,0.12,rhsail,128.76742075681688
1783989055.0452454,6,40960,32185,83,241.59,0.12,rhsail,128.76742075681688
1783989055.0452454,7,40960,32581,87,262.43,0.12,rhsail,128.76742075681688
1783989060.1807003,3,40960,31367,3,457.8,0.12,rhsail,128.85301167170206
1783989060.1807003,4,40960,31367,84,252.44,0.12,rhsail,128.85301167170206
1783989060.1807003,5,40960,32189,0,96.17,0.12,rhsail,128.85301167170206
1783989060.1807003,6,40960,32185,83,237.12,0.12,rhsail,128.85301167170206
1783989060.1807003,7,40960,32581,88,263.25,0.12,rhsail,128.85301167170206
1783989065.3058262,3,40960,31367,89,250.47,0.12,rhsail,128.93843043645222
1783989065.3058262,4,40960,31367,85,255.98,0.12,rhsail,128.93843043645222
1783989065.3058262,5,40960,32189,0,95.11,0.12,rhsail,128.93843043645222
1783989065.3058262,6,40960,32185,82,239.72,0.12,rhsail,128.93843043645222
1783989065.3058262,7,40960,32581,88,260.89,0.12,rhsail,128.93843043645222
1783989070.433984,3,40960,31367,89,246.07,0.12,rhsail,129.02389973402023
1783989070.433984,4,40960,31367,85,255.09,0.12,rhsail,129.02389973402023
1783989070.433984,5,40960,32189,38,234.76,0.12,rhsail,129.02389973402023
1783989070.433984,6,40960,32185,84,237.63,0.12,rhsail,129.02389973402023
1783989070.433984,7,40960,32581,89,260.89,0.12,rhsail,129.02389973402023
1783989075.5649343,3,40960,31367,89,251.67,0.12,rhsail,129.10941557089487
1783989075.5649343,4,40960,31367,85,247.25,0.12,rhsail,129.10941557089487
1783989075.5649343,5,40960,32189,0,94.32,0.12,rhsail,129.10941557089487
1783989075.5649343,6,40960,32185,84,241.45,0.12,rhsail,129.10941557089487
1783989075.5649343,7,40960,32581,87,259.39,0.12,rhsail,129.10941557089487
1783989080.694589,3,40960,31367,89,256.07,0.12,rhsail,129.19490981499354
1783989080.694589,4,40960,31367,89,259.5,0.12,rhsail,129.19490981499354
1783989080.694589,5,40960,32189,85,258.71,0.12,rhsail,129.19490981499354
1783989080.694589,6,40960,32185,86,244.11,0.12,rhsail,129.19490981499354
1783989080.694589,7,40960,32581,87,255.55,0.12,rhsail,129.19490981499354
1783989085.8270457,3,40960,31367,0,82.05,0.12,rhsail,129.2804507613182
1783989085.8270457,4,40960,31367,89,258.27,0.12,rhsail,129.2804507613182
1783989085.8270457,5,40960,32189,0,286.57,0.12,rhsail,129.2804507613182
1783989085.8270457,6,40960,32185,86,245.24,0.12,rhsail,129.2804507613182
1783989085.8270457,7,40960,32581,87,259.39,0.12,rhsail,129.2804507613182
