rate,rate_label,scheduler,dataset,count,avg_wait_s,avg_service_s,p95_service_s,max_service_s,avg_completion_s
0.12,0.12,fcfs,gsm8k,200,70.7696890827734,9.584197990661487,20.449446613108737,69.7834722911939,80.35388707343489
0.12,0.12,fcfs,hotpotqa,200,75.53098215606063,26.005730415941215,40.58573228609746,53.89970164746046,101.53671257200185
0.12,0.12,fcfs,math,200,71.62275093708188,41.00390930294059,90.9074986622668,206.16420201119035,112.62666024002246
0.12,0.12,fcfs,mbpp,200,70.41003213101533,33.882028517643924,52.67145818532442,73.34186911676079,104.29206064865924
0.12,0.12,fcfs,mmlu_pro,200,76.96955641742795,22.879622742617503,71.22178195575249,142.5615572668612,99.84917916004547
0.12,0.12,fcfs,strategyqa,200,73.44485843214207,17.74431501419749,29.629182103462497,61.72711992729455,91.18917344633955
0.12,0.12,fcfs,swebench_verified,200,78.06048649638892,75.96981781945098,130.50980382859706,169.90609871502966,154.03030431583989
0.12,0.12,sjf,gsm8k,200,1.8842896414315329,7.987434859541245,14.90619586193932,35.41185809019953,9.871724500972778
0.12,0.12,sjf,hotpotqa,200,33.166708643538875,49.68113624436315,149.88904046216038,575.1881429674104,82.84784488790203
0.12,0.12,sjf,math,200,1.5127605536859483,42.46341960643884,87.38773478711951,241.2818069141358,43.976180160124784
0.12,0.12,sjf,mbpp,200,2.025476971389726,34.995427140714604,59.202353035053235,98.11520841997117,37.020904112104326
0.12,0.12,sjf,mmlu_pro,200,3.899291810207069,22.53723338483367,74.41709566856724,176.09717471245676,26.43652519504074
0.12,0.12,sjf,strategyqa,200,1.0046527126710862,15.668229146050288,23.214353873673822,41.64821043424308,16.672881858721375
0.12,0.12,sjf,swebench_verified,200,160.95531362897717,253.51025806911755,972.8272226755495,5301.2536197938025,414.4655716980947
0.12,0.12,rhsail,gsm8k,200,53.1683496080013,11.50051779080648,33.502612171974015,53.83600320853293,64.66886739880778
0.12,0.12,rhsail,hotpotqa,200,92.66459136655088,63.376084219296466,106.64537704433313,126.99978564027697,156.04067558584734
