rate,rate_label,scheduler,physical_gpu,samples,avg_gpu_util_pct,p95_gpu_util_pct,max_memory_gib,avg_power_w
0.12,0.12,fcfs,3,2308,77.07712305025997,93.0,30.6318359375,235.11488301559794
0.12,0.12,fcfs,4,2308,76.2261698440208,94.0,31.4326171875,248.78029896013862
0.12,0.12,fcfs,5,2308,74.9233102253033,92.0,31.4521484375,255.19346187175043
0.12,0.12,fcfs,6,2308,74.95320623916811,91.0,31.0146484375,231.28280329289427
0.12,0.12,fcfs,7,2308,74.36741767764298,91.0,31.0361328125,250.44814991334488
0.12,0.12,rhsail,3,2382,72.06591099916037,91.0,30.6318359375,224.75924433249367
0.12,0.12,rhsail,4,2382,75.38203190596138,95.0,30.6318359375,248.2614147774979
0.12,0.12,rhsail,5,2382,72.85054575986565,92.0,31.4345703125,251.89364819479425
0.12,0.12,rhsail,6,2382,72.9416456759026,92.0,31.4306640625,226.72406801007557
0.12,0.12,rhsail,7,2382,73.82115869017632,93.0,31.8173828125,252.02248110831232
0.12,0.12,sjf,3,2319,76.30789133247089,92.0,32.2333984375,235.7739887882708
0.12,0.12,sjf,4,2319,75.8197498921949,93.0,31.0615234375,251.3339974126779
0.12,0.12,sjf,5,2319,75.42604570935748,91.0,30.6318359375,258.2428244933161
0.12,0.12,sjf,6,2319,76.05433376455369,94.0,31.0166015625,237.1531522207848
0.12,0.12,sjf,7,2319,73.92583009918069,91.0,31.0439453125,253.44014230271665
0.13,0.13,fcfs,3,2213,77.950745594216,93.0,30.6318359375,239.4517894261184
0.13,0.13,fcfs,4,2213,78.06100316312698,94.0,30.6318359375,258.7845277903299
0.13,0.13,fcfs,5,2213,78.38680524175328,93.0,31.0380859375,265.94650248531406
0.13,0.13,fcfs,6,2213,80.32218707636692,93.0,31.4111328125,245.5634749209218
0.13,0.13,fcfs,7,2213,80.61455038409399,92.0,31.4111328125,268.9034297333936
0.13,0.13,rhsail,3,2251,73.78853842736561,92.0,31.0126953125,230.40225233229674
0.13,0.13,rhsail,4,2251,74.34517992003553,92.0,30.6318359375,244.42273656152824
0.13,0.13,rhsail,5,2251,74.06530430919591,90.0,31.4052734375,252.58840071079518
0.13,0.13,rhsail,6,2251,75.92358951577077,92.0,31.4111328125,236.33701466015106
0.13,0.13,rhsail,7,2251,77.09062638827189,92.0,31.0654296875,258.539662372279
0.13,0.13,sjf,3,2296,76.90635888501743,93.0,31.0126953125,236.4945165505226
0.13,0.13,sjf,4,2296,77.71254355400697,93.0,31.4228515625,255.81314895470382
0.13,0.13,sjf,5,2296,79.03179442508711,93.0,31.4208984375,266.9146341463415
0.13,0.13,sjf,6,2296,79.15331010452962,93.0,31.4326171875,245.25008710801393
0.13,0.13,sjf,7,2296,82.12717770034843,94.0,31.4599609375,273.4625087108014
