rate,rate_label,scheduler,count,completed,success_rate,makespan_s,arrival_end_s,drain_tail_s,total_tokens,total_token_throughput,output_token_throughput,request_throughput,avg_wait_s,p95_wait_s,avg_service_s,p50_service_s,p95_service_s,p99_service_s,max_service_s,avg_completion_s,p95_completion_s,p99_completion_s,max_completion_s,ready_queue_avg,ready_queue_peak,scheduler_overhead_s,scheduler_overhead_pct,avg_device_busy_pct,parallelism_utilization,dependency_stall_mean_s,critical_path_mean_s,dag_parallelism_mean,cross_device_dependencies_mean,avg_active_wall_s,avg_dormant_s,avg_dormant_fraction,p95_max_gap_s,p95_service_stretch
0.12,0.12,fcfs,1400,1400,1.0,11820.236909735017,11565.20315603353,255.0337537014857,28123938,2379.304087960998,261.72741067922925,0.11844094248626907,73.82976509327003,208.6853520462755,32.43851740049331,23.92484684055671,86.77714510788205,133.2414325763192,206.16420201119035,106.26828249376334,252.0901337025687,312.3252762718871,395.78270547185093,2.7166719317643344,37,444.91042354051024,0.03763972134721656,86.23901541950083,0.8623901541950084,13.803722027550851,26.23540180684932,1.3171235749444763,5.185,28.353837934552825,4.084679465940488,0.15633517568627844,12.293577680177984,1.9608253155982631
0.12,0.12,sjf,1400,1400,1.0,11878.226562538184,11564.793631710112,313.43293082807213,28355595,2387.1909540291567,261.90054412762845,0.11786271230213366,29.206927708843057,78.408247132413,60.97759120729419,24.37409696634859,156.1579440276604,737.1849246899224,5301.2536197938025,90.18451891613725,253.60521250893325,1259.2230207635173,5329.923454212025,4.614341709621993,45,442.4220997588709,0.037246477614275485,86.76584790687927,0.8676584790687928,79.8804832236868,26.744778346667466,1.3085528203568586,5.525,29.653181733272838,31.324409474021355,0.19166174504677583,52.190765641443356,3.21548097632546
0.12,0.12,rhsail,1400,1400,1.0,12205.659975210205,11575.42622417491,630.2337510352954,28375872,2324.8125916690806,255.0707627709728,0.11470088490449606,98.23197899168822,406.20892621120436,58.04833828379466,42.65479891747236,156.1196445236913,201.7843546167016,345.6568455239758,156.2803172754829,522.4292103762737,693.1146792987267,4680.989354128018,2.2734483684377516,31,1394.3387210574,0.11423706082991936,84.67248177748917,0.8467248177748916,55.58410235127234,26.685075960275718,1.3149568323599918,5.9471428571428575,31.388502472983674,26.659835810810993,0.3843947865118636,65.77200592993758,4.9143252613546915
0.13,0.13,fcfs,1400,1400,1.0,11334.783703321591,10675.30851081945,659.475192502141,28139115,2482.5453874125537,274.6282665356726,0.12351360525651127,180.7555569179702,584.1114915631712,33.29491949500117,25.113438125234097,86.51661123344674,142.14707883334708,270.4122326206416,214.05047641297136,620.2386744429823,682.944368717987,806.5977956773713,15.560059109140806,86,292.08122530486435,0.02576857511795939,90.44669712025215,0.9044669712025216,14.824885439113714,26.61122376460582,1.314709078130537,5.132857142857143,28.80473636801554,4.490183126985627,0.17166944406978776,13.713316461397325,2.163680840979703
0.13,0.13,sjf,1400,1400,1.0,11749.979228739627,10675.185581377707,1074.7936473619193,28754740,2447.216241001339,274.8938476503561,0.11914914679812352,92.87294752927697,267.1679790241643,71.29835815725183,25.60083614801988,180.86082215672357,712.1758233603368,6529.405441951938,164.1713056865288,516.5946322558912,3923.8538931455178,6906.181855535135,15.689443896360144,81,278.6462073074654,0.023714612756583965,90.65917960181147,0.9065917960181147,111.04190823403985,27.629657063534083,1.306995020124038,5.3742857142857146,30.742956345813084,40.55540181143875,0.21001582371406557,67.73536529219707,3.5961980825512665
0.13,0.13,rhsail,1400,1400,1.0,11502.320805937983,10686.036670151167,816.2841357868165,27830676,2419.570490994533,260.4375282641679,0.12171456731386425,158.65666556611126,640.4826617248821,61.06889566231386,48.919396362267435,162.1902379143052,215.0330717052426,268.9114925209433,219.7255612284251,738.4796801180578,995.1040187292919,4536.095418626443,4.456239600665557,30,1351.320813972503,0.11748244869634432,86.77189940435014,0.8677189940435013,63.92038317115046,25.685484657360774,1.3162568193886364,6.030714285714286,30.65673191849475,30.41216374381911,0.42682901845271737,64.89897643150762,5.244494618452363
0.15,0.15,fcfs,1400,1400,1.0,11573.59562458191,9252.31332661584,2321.2822979660705,28518302,2464.0831531583954,275.7263259848236,0.12096500045555844,824.2796116200273,2044.8158941431902,34.543569893433514,25.262949893949553,93.3690725909546,149.76222983398006,251.5999401640147,858.8231815134608,2071.7100768253904,2211.568123838366,2349.966602815781,96.31389209701369,237,321.45949627505615,0.02777524865239697,91.66214957104735,0.9166214957104735,15.645353244132961,27.598752828260682,1.311088246933418,5.037142857142857,29.951988391238263,4.591581502195248,0.17396218376956732,13.764250683039409,2.240448041054309
0.15,0.15,sjf,1400,1400,1.0,11199.69585581543,9252.141626415309,1947.5542294001207,28368115,2532.9361944476277,278.5173847716857,0.12500339455852738,287.87214490977914,1883.6508422338866,96.93742613735176,25.926847195485607,198.4642710190964,943.8471160981941,9942.171710022725,384.80957104713093,2541.451697985641,7185.681502642855,10586.663359221071,54.05762205247426,131,296.76789650926366,0.026497853185465502,91.60918661541902,0.9160918661541902,150.66156769474136,26.624993988322093,1.315074208955697,5.482857142857143,29.638384662663366,67.2990414746884,0.22077570440250677,81.71433500864067,4.012322851484624
0.15,0.15,rhsail,1400,1400,1.0,11630.934521735646,9263.420103321783,2367.5144184138626,28261861,2429.887378970695,268.8732357796243,0.12036865974816637,723.2368062933741,2169.2021978687494,69.1646865990086,59.30105673521757,162.44519467349159,216.55655162641773,279.9431189317256,792.4014928923826,2293.7236595606423,2683.6517568016147,5207.83030136209,10.287566680344685,33,1448.0542028518394,0.12450024545712524,88.92001660578705,0.8892001660578706,72.99427272026959,26.683165202662348,1.312245620160448,6.075714285714286,32.116937062117,37.0477495368916,0.49107971884696483,66.82839288339018,5.584740314826741
